Location,Job_Listing
Madera County,LIBRARIAN (CORRECTIONAL FACILITY)
Monterey County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Orange County,LICENSING PROGRAM ANALYST
Butte County,LICENSING PROGRAM ANALYST
Marin County,LOCKSMITH I (CORRECTIONAL FACILITY)
Alameda County,"MAINTENANCE WORKER, TUNNELS AND TUBES"
Contra Costa County,MATERIALS AND RESEARCH ENGINEERING ASSOCIATE (SPECIALIST)
Riverside County,MATERIALS AND STORES SUPERVISOR II (CORRECTIONAL FACILITY)
Kern County,MEDICAL ASSISTANT
Solano County,MEDICAL ASSISTANT
San Joaquin County,MEDICAL RECORD DIRECTOR
United States,"NURSE EVALUATOR II, HEALTH SERVICES"
Monterey County,OFFICE ASSISTANT (TYPING)
San Joaquin County,OFFICE TECHNICIAN (GENERAL)
Alameda County,OFFICE TECHNICIAN (GENERAL)
Fresno County,OFFICE TECHNICIAN (TYPING)
Orange County,OFFICE TECHNICIAN (TYPING)
Tuolumne County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Fresno County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Riverside County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Kern County,PARK AIDE (SEASONAL)
Sacramento County,PARK AIDE (SEASONAL)
Nevada County,PARK MAINTENANCE SUPERVISOR
San Diego County,PERSONNEL SPECIALIST
Kern County,PHARMACIST II
Sacramento County,PHARMACY SERVICES MANAGER
Fresno County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Tuolumne County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Riverside County,PRE-LICENSED PSYCHIATRIC TECHNICIAN
Sonoma County,PROGRAM TECHNICIAN II
Sacramento County,PROGRAM TECHNICIAN III
Monterey County,PSYCHIATRIC TECHNICIAN (SAFETY)
Kings County,"PUBLIC HEALTH NURSE II, CORRECTIONAL FACILITY"
Riverside County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Fresno County,"REGIONAL DENTAL DIRECTOR, CEA"
Solano County,"REGISTERED DIETITIAN, CORRECTIONAL FACILITY"
San Luis Obispo County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Sacramento County,RESEARCH SCIENTIST I (EPIDEMIOLOGY/BIOSTATISTICS)
San Joaquin County,"RESPIRATORY CARE PRACTITIONER, CORRECTIONAL FACILITY"
Fresno County,ROUTE SALES REPRESENTATIVE
Sacramento County,SCIENTIFIC AID
Alameda County,SCIENTIFIC AID
Los Angeles County,SEASONAL CLERK
Sacramento County,SEASONAL CLERK
Sacramento County,SENIOR AUDITOR EVALUATOR I
Sacramento County,SENIOR AUDITOR EVALUATOR II
Sacramento County,SENIOR AUDITOR EVALUATOR III
Sacramento County,"SENIOR EMERGENCY SERVICES COORDINATOR, OFFICE OF EMERGENCY SERVICES"
Sacramento County,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Sacramento County,"SENIOR MARKETING SPECIALIST, CALIFORNIA STATE LOTTERY"
United States,SENIOR PSYCHOLOGIST (HEALTH FACILITY) (SUPERVISOR)
Kings County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Solano County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Marin County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Monterey County,"SENIOR RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Alameda County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
Los Angeles County,SENIOR UTILITIES ENGINEER (SPECIALIST)
Modoc County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Los Angeles County,STAFF PARK AND RECREATION SPECIALIST
Amador County,STAFF SERVICES ANALYST
Riverside County,STAFF SERVICES ANALYST
San Diego County,STAFF SERVICES MANAGER I
San Bernardino County,STAFF SERVICES MANAGER I
United States,STAFF SERVICES MANAGER II (SUPERVISORY)
Sacramento County,STATE PARK INTERPRETER II
Sacramento County,STATIONARY ENGINEER
Kings County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Riverside County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Orange County,SUPERVISING SPECIAL INVESTIGATOR I (NON-PEACE OFFICER) 
Fresno County,"SUPERVISING TRANSPORTATION ENGINEER, CALTRANS"
Sacramento County,"TAX PROGRAM TECHNICIAN I, FRANCHISE TAX BOARD"
Fresno County,"TAX TECHNICIAN I, BOARD OF EQUALIZATION"
San Francisco County,"TAX TECHNICIAN III, BOARD OF EQUALIZATION"
Sutter County,TRANSPORTATION ENGINEER (CIVIL)
Shasta County,TRANSPORTATION ENGINEER (CIVIL)
Sacramento County,TRANSPORTATION ENGINEER (ELECTRICAL)
Humboldt County,TRANSPORTATION ENGINEER (ELECTRICAL)
Marin County,TRANSPORTATION ENGINEERING TECHNICIAN
Shasta County,TRANSPORTATION SURVEYOR (CALTRANS)
Sacramento County,WATER RESOURCES ENGINEERING ASSOCIATE (SPECIALIST)
Los Angeles County,WATER SERVICES SUPERVISOR
Sacramento County,WORKERS' COMPENSATION ASSISTANT
San Francisco County,WORKERS' COMPENSATION CONSULTANT
Sacramento County,AIR RESOURCES TECHNICIAN II
San Francisco County,ASSOCIATE ACCOUNTING ANALYST
Shasta County,ASSOCIATE SAFETY ENGINEER
Yolo County,BUSINESS SERVICE OFFICER I (SPECIALIST)
Inyo County,CALTRANS ELECTRICAL SUPERVISOR
Siskiyou County,CALTRANS HIGHWAY MAINTENANCE WORKER
Sacramento County,CALTRANS MAINTENANCE MANAGER I
San Diego County,COMMERCIAL VEHICLE INSPECTION SPECIALIST
Imperial County,"CORRECTIONAL ADMINISTRATOR, DEPARTMENT OF CORRECTIONS"
Monterey County,CORRECTIONAL LIEUTENANT
Los Angeles County,DISABILITY INSURANCE PROGRAM MANAGER I
Riverside County,ELECTRONICS TECHNICIAN  (CORRECTIONAL FACILITY)
San Luis Obispo County,ELECTRONICS TECHNICIAN  (CORRECTIONAL FACILITY)
Inyo County,ENVIRONMENTAL SCIENTIST
Alameda County,EXECUTIVE ASSISTANT
Sacramento County,"FINANCIAL AND PERFORMANCE EVALUATOR I, DEPARTMENT OF FINANCE"
Shasta County,FISH HATCHERY MANAGER I
Fresno County,FORESTER I (NONSUPERVISORY)
Fresno County,FORESTRY ASSISTANT II
United States,HEALTH EDUCATION CONSULTANT II
United States,HEALTH EDUCATION CONSULTANT III (SPECIALIST)
San Bernardino County,HEALTH FACILITIES EVALUATOR MANAGER II
United States,HEALTH PROGRAM MANAGER I
Marin County,HEALTH PROGRAM SPECIALIST I
Los Angeles County,HEALTH PROGRAM SPECIALIST I
Fresno County,HEALTH RECORD TECHNICIAN I
Los Angeles County,HYDROELECTRIC PLANT TECHNICIAN I
Del Norte County,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (MAINTENANCE AND REPAIR)"
Sacramento County,INFORMATION OFFICER II
Alameda County,INFORMATION TECHNOLOGY SPECIALIST I
Sacramento County,INVESTIGATOR
Sacramento County,"LANDSCAPE ASSOCIATE, CALTRANS"
San Diego County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Tulare County,"LICENSED VOCATIONAL NURSE, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Sonoma County,LICENSING PROGRAM ANALYST
Riverside County,MAINTENANCE MECHANIC (CORRECTIONAL FACILITY)
San Bernardino County,"MANAGER II, DEPARTMENT OF MOTOR VEHICLES"
Fresno County,MATERIALS AND STORES SPECIALIST
Orange County,MINERAL RESOURCES INSPECTOR II
San Bernardino County,"NURSE PRACTITIONER, CORRECTIONAL FACILITY"
San Luis Obispo County,"OCCUPATIONAL THERAPIST, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Los Angeles County,OFFICE ASSISTANT (TYPING)
Kern County,OFFICE SERVICES SUPERVISOR II                          
Calaveras County,OFFICE TECHNICIAN (TYPING)
Sacramento County,OFFSET PRESS ASSISTANT
Lake County,PARK MAINTENANCE ASSISTANT
Los Angeles County,PAROLE SERVICE ASSOCIATE
Los Angeles County,PHARMACIST I        (MAND)
San Bernardino County,PROGRAM TECHNICIAN
Shasta County,PROGRAM TECHNICIAN
Los Angeles County,PROGRAM TECHNICIAN
Del Norte County,PSYCHIATRIC TECHNICIAN (SAFETY)
Tulare County,PSYCHIATRIC TECHNICIAN ASSISTANT
Riverside County,"PUBLIC HEALTH NURSE II, CORRECTIONAL FACILITY"
San Diego County,"PUBLIC SAFETY OPERATOR, CALIFORNIA HIGHWAY PATROL"
Solano County,"PUBLIC SAFETY OPERATOR, CALIFORNIA HIGHWAY PATROL"
Los Angeles County,PUBLIC UTILITIES REGULATORY ANALYST II
Sacramento County,PUBLIC UTILITIES REGULATORY ANALYST II
San Francisco County,PUBLIC UTILITIES REGULATORY ANALYST II
Sacramento County,PUBLIC UTILITIES REGULATORY ANALYST IV
Riverside County,"RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY"
Sacramento County,RECEIVER'S MEDICAL EXECUTIVE (SAFETY)
Los Angeles County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
San Luis Obispo County,REGISTERED  DIETITIAN (SAFETY)
Los Angeles County,REGISTERED DIETITIAN
Imperial County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Sacramento County,RESEARCH DATA ANALYST II
United States,RESEARCH DATA SPECIALIST I
San Francisco County,RESEARCH DATA SPECIALIST II
Los Angeles County,RESEARCH DATA SPECIALIST II
Solano County,RESEARCH DATA SPECIALIST II
Sacramento County,RESEARCH SCIENTIST III (EPIDEMIOLOGY/BIOSTATISTICS)
Butte County,"SENIOR EMERGENCY SERVICES COORDINATOR, OFFICE OF EMERGENCY SERVICES"
San Bernardino County,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Riverside County,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Los Angeles County,SENIOR HYDROELECTRIC PLANT OPERATOR
Los Angeles County,SENIOR PSYCHOLOGIST (HEALTH FACILITY) (SPECIALIST)
Los Angeles County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
Sacramento County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
Sacramento County,SENIOR WATER RESOURCE CONTROL ENGINEER
Inyo County,"SERVICE ASSISTANT (MAINTENANCE), CALTRANS"
Kern County,"SERVICE ASSISTANT (MAINTENANCE), CALTRANS"
Yolo County,SHEETFED OFFSET PRESS OPERATOR II
Alameda County,"SPECIAL AGENT, DEPARTMENT OF JUSTICE"
Riverside County,"SPECIAL AGENT, DEPARTMENT OF JUSTICE"
Los Angeles County,"SPECIAL AGENT, DEPARTMENT OF JUSTICE"
Sacramento County,"SPECIAL AGENT, DEPARTMENT OF JUSTICE"
San Diego County,"SPECIAL AGENT, DEPARTMENT OF JUSTICE"
Los Angeles County,SPECIAL INVESTIGATOR
Tulare County,STAFF PSYCHIATRIST                                     (MAND)
Orange County,STAFF SERVICES ANALYST
Sonoma County,STAFF SERVICES ANALYST
Stanislaus County,STATE PARK INTERPRETER I
Sonoma County,STATE PARK INTERPRETER I
Stanislaus County,STATE PARK INTERPRETER II
Sacramento County,STATIONARY ENGINEER (CORRECTIONAL FACILITY)
San Luis Obispo County,STOCK CLERK
Kern County,SUPERVISING CASE RECORDS TECHNICIAN
Solano County,"SUPERVISING REGISTERED NURSE III, CORRECTIONAL FACILITY"
Sacramento County,"TAX ADMINISTRATOR II, EMPLOYMENT DEVELOPMENT DEPARTMENT"
Sacramento County,TRANSPORTATION ENGINEER (CIVIL)
Alameda County,TRANSPORTATION ENGINEERING TECHNICIAN
Fresno County,TRANSPORTATION SURVEYOR PARTY CHIEF (CALTRANS)
Fresno County,"WATER AND SEWAGE PLANT OPERATOR, DEPARTMENT FORESTRY  AND FIRE PROTECTION (SAFETY)"
Kern County,HEALTH PROGRAM SPECIALIST II
Sacramento County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Orange County,ACCOUNT CLERK II
Riverside County,ASSISTANT INDUSTRIAL HYGIENIST
San Francisco County,ASSOCIATE PERSONNEL ANALYST
Solano County,ASSOCIATE STEEL INSPECTOR
Nevada County,CALTRANS LANDSCAPE MAINTENANCE LEADWORKER
San Bernardino County,CALTRANS LANDSCAPE SPECIALIST
Kern County,"CAPTAIN, ADULT INSTITUTION"
Kern County,CLINICAL SOCIAL WORKER (HEALTH FACILITY)
Sacramento County,CONSTRUCTION SUPERVISOR III (CORRECTIONAL FACILITY)
San Luis Obispo County,"CONTROL CASHIER I (MOTOR VEHICLE SERVICES), DEPARTMENT OF MOTOR VEHICLES"
San Joaquin County,CORRECTIONAL CASE RECORDS MANAGER
Sacramento County,CORRECTIONAL COUNSELOR III
Amador County,"DENTIST, CORRECTIONAL FACILITY"
San Diego County,DISABILITY EVALUATION SERVICES ADMINISTRATOR I
Santa Clara County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Sacramento County,ELECTRIC GENERATION SYSTEM PROGRAM SPECIALIST I
San Joaquin County,ENVIRONMENTAL SCIENTIST
Butte County,FISH AND WILDLIFE SCIENTIFIC AID
Shasta County,FISH AND WILDLIFE SEASONAL AID
Los Angeles County,HEALTH FACILITIES EVALUATOR NURSE
San Bernardino County,HEALTH PROGRAM SPECIALIST I
San Joaquin County,HEALTH PROGRAM SPECIALIST II
Amador County,HEALTH RECORD TECHNICIAN II (SUPERVISOR)
Alameda County,INFORMATION OFFICER I (SPECIALIST)
Fresno County,INFORMATION TECHNOLOGY SPECIALIST I
Yolo County,INFORMATION TECHNOLOGY SPECIALIST III
San Diego County,"INVESTIGATIVE AUDITOR III, DEPARTMENT OF JUSTICE"
San Diego County,INVESTIGATOR
Solano County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Los Angeles County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
San Luis Obispo County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Riverside County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Solano County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Sacramento County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Fresno County,LICENSING PROGRAM ANALYST
Sacramento County,MAILING MACHINES SUPERVISOR II
Placer County,MAINTENANCE AIDE (SEASONAL)
Butte County,MAINTENANCE AIDE (SEASONAL)
San Luis Obispo County,MANAGEMENT SERVICES TECHNICIAN
Ventura County,"MANAGER II, DEPARTMENT OF MOTOR VEHICLES"
San Joaquin County,"MANAGER II, DEPARTMENT OF MOTOR VEHICLES"
Los Angeles County,NURSE INSTRUCTOR
Shasta County,OFFICE ASSISTANT (TYPING)
Santa Clara County,OFFICE TECHNICIAN (GENERAL)
Merced County,OFFICE TECHNICIAN (TYPING)
Los Angeles County,PERSONNEL SPECIALIST
San Luis Obispo County,PHARMACY TECHNICIAN
Contra Costa County,PROGRAM TECHNICIAN II
Los Angeles County,PROPERTY CONTROLLER II (CORRECTIONAL FACILITY)
Madera County,PSYCHIATRIC TECHNICIAN (SAFETY)
San Bernardino County,PSYCHIATRIC TECHNICIAN (SAFETY)
Riverside County,PSYCHIATRIC TECHNICIAN (SAFETY)
Los Angeles County,PSYCHIATRIC TECHNICIAN INSTRUCTOR
Los Angeles County,PUBLIC UTILITIES REGULATORY ANALYST V
United States,PUBLIC UTILITIES REGULATORY ANALYST V
San Joaquin County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Madera County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
San Bernardino County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Madera County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Tuolumne County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Yolo County,RESEARCH DATA SPECIALIST II
United States,RESEARCH DATA SPECIALIST II
Fresno County,SECURITY GUARD
Los Angeles County,SECURITY GUARD
Shasta County,SECURITY GUARD
San Bernardino County,SENIOR ACCOUNTING OFFICER (SPECIALIST)
Orange County,"SENIOR COMPLIANCE REPRESENTATIVE, FRANCHISE TAX BOARD"
United States,"SENIOR EMERGENCY SERVICES COORDINATOR, OFFICE OF EMERGENCY SERVICES"
Sacramento County,SENIOR ENGINEERING GEOLOGIST
Inyo County,SENIOR ENVIRONMENTAL PLANNER
Los Angeles County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Orange County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
San Bernardino County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
San Joaquin County,SENIOR MOTOR VEHICLE TECHNICIAN
Kings County,SENIOR PERSONNEL SPECIALIST
San Bernardino County,SENIOR PSYCHIATRIC TECHNICIAN (SAFETY)
San Bernardino County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Riverside County,"SENIOR RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Los Angeles County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Sacramento County,SENIOR WORKERS' COMPENSATION INSURANCE REPRESENTATIVE
San Mateo County,STAFF SERVICES MANAGER I
Butte County,STUDENT ASSISTANT -ENGINEERING AND ARCHITECTURAL SCIENCES-
Tuolumne County,SUPERVISING CASE RECORDS TECHNICIAN
Sonoma County,SUPERVISING PROGRAM TECHNICIAN II
San Bernardino County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
San Diego County,SUPERVISING REHABILITATION THERAPIST
San Joaquin County,SUPERVISOR OF BUILDING TRADES (CORRECTIONAL FACILITY)
Los Angeles County,TRANSPORTATION ENGINEER (CIVIL)
Riverside County,WATER RESOURCE CONTROL ENGINEER
Los Angeles County,WORKERS' COMPENSATION CONSULTANT
Tuolumne County,ACCOUNTANT TRAINEE
Butte County,ADOPTIONS SPECIALIST
San Joaquin County,CALTRANS ELECTRICIAN I
Mariposa County,CALTRANS EQUIPMENT OPERATOR II
Fresno County,CARPENTER I
San Joaquin County,CARPENTER III (CORRECTIONAL FACILITY)
Napa County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Sacramento County,CODES AND STANDARDS ADMINISTRATOR I (NON-PEACE OFFICER)
San Luis Obispo County,COOK SPECIALIST I
Riverside County,COOK SPECIALIST II
Sacramento County,CORRECTIONAL SERGEANT
Yolo County,CUSTODIAN I
Monterey County,CUSTODIAN I
Riverside County,CUSTODIAN SUPERVISOR I
United States,DEPUTY INSPECTOR GENERAL
Yolo County,DIGITAL PRINT OPERATOR II
Sacramento County,DIRECT CONSTRUCTION SUPERVISOR II
Fresno County,DISABILITY INSURANCE PROGRAM MANAGER II
Sacramento County,ENVIRONMENTAL PLANNER
Fresno County,"EXECUTIVE OFFICER, SAN JOAQUIN RIVER CONSERVANCY"
Glenn County,FISH AND WILDLIFE SEASONAL AID
Colusa County,FISH AND WILDLIFE SEASONAL AID
Sutter County,FISH AND WILDLIFE SEASONAL AID
Butte County,FISH AND WILDLIFE SEASONAL AID
Alameda County,GRADUATE STUDENT ASSISTANT
Yolo County,GROUNDSKEEPER
Monterey County,HEALTH PROGRAM MANAGER III
Madera County,HEALTH RECORD TECHNICIAN I
San Bernardino County,HEARING REPORTER
Butte County,HEAVY FIRE EQUIPMENT OPERATOR
Alameda County,HEAVY FIRE EQUIPMENT OPERATOR
Stanislaus County,HEAVY FIRE EQUIPMENT OPERATOR
Mendocino County,HEAVY FIRE EQUIPMENT OPERATOR
Tehama County,HEAVY FIRE EQUIPMENT OPERATOR
Placer County,HEAVY FIRE EQUIPMENT OPERATOR
Santa Clara County,HEAVY FIRE EQUIPMENT OPERATOR
Yuba County,HEAVY FIRE EQUIPMENT OPERATOR
Humboldt County,HEAVY FIRE EQUIPMENT OPERATOR
Lassen County,HEAVY TRUCK DRIVER (CORRECTIONAL FACILITY)
Madera County,INFORMATION TECHNOLOGY SPECIALIST I
Los Angeles County,INVESTIGATOR
Del Norte County,JEWISH CHAPLAIN
Kings County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Del Norte County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Riverside County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Napa County,LICENSED VOCATIONAL NURSE (SAFETY)
Alameda County,LICENSING PROGRAM ANALYST
Imperial County,MANAGEMENT SERVICES TECHNICIAN
United States,"MANAGER I, STATE COMPENSATION INSURANCE FUND"
Riverside County,MATERIALS AND STORES SUPERVISOR I (CORRECTIONAL FACILITY)
Imperial County,MATERIALS AND STORES SUPERVISOR I (CORRECTIONAL FACILITY)
Sacramento County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
United States,"MEDICAL CONSULTANT I, DEPARTMENT OF HEALTH SERVICES"
Del Norte County,MUSLIM CHAPLAIN
Kern County,"NURSE PRACTITIONER, CORRECTIONAL FACILITY"
Sonoma County,OFFICE TECHNICIAN (GENERAL)
Alameda County,OFFICE TECHNICIAN (TYPING)
Amador County,"OPTOMETRIST, CORRECTIONAL FACILITY"
San Bernardino County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Butte County,PARK MAINTENANCE ASSISTANT
Marin County,PARK MAINTENANCE ASSISTANT
Marin County,PARK MAINTENANCE WORKER II
Los Angeles County,"PHARMACEUTICAL CONSULTANT II, DEPARTMENT OF HEALTH SERVICES (SUPERVISORY)"
San Joaquin County,PHARMACIST I        (MAND)
Kern County,PHARMACIST I        (MAND)
Kings County,PHARMACIST I        (MAND)
Los Angeles County,PHARMACY TECHNICIAN
Amador County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Del Norte County,PLUMBER II (CORRECTIONAL FACILITY)
Napa County,PRE-LICENSED PSYCHIATRIC TECHNICIAN (SAFETY)
Sacramento County,"PROGRAM SPECIALIST III, FRANCHISE TAX BOARD"
Napa County,PSYCHIATRIC TECHNICIAN ASSISTANT (SAFETY)
Riverside County,"PSYCHOLOGIST (HEALTH FACILITY - CLINICAL), DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Los Angeles County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
San Francisco County,PUBLIC UTILITIES REGULATORY ANALYST III
Los Angeles County,PUBLIC UTILITIES REGULATORY ANALYST III
Sacramento County,PUBLIC UTILITIES REGULATORY ANALYST III
Napa County,REGISTERED NURSE (SAFETY)
San Diego County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Sacramento County,RESEARCH DATA ANALYST I
United States,RESEARCH DATA MANAGER
Shasta County,RESPIRATORY CARE PRACTITIONER                          (MAND)
San Diego County,SEASONAL CLERK
Yolo County,SENIOR ENVIRONMENTAL PLANNER
Riverside County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Sacramento County,SENIOR HAZARDOUS SUBSTANCES ENGINEER
San Luis Obispo County,SENIOR LEGAL TYPIST
Tuolumne County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Kings County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Amador County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Kings County,"SENIOR RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Orange County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
San Diego County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
Riverside County,SPECIAL INVESTIGATOR
Fresno County,SPECIAL INVESTIGATOR
Solano County,STAFF SERVICES MANAGER I
San Luis Obispo County,STATE PARK EQUIPMENT OPERATOR
Tuolumne County,STATE PARK INTERPRETER II
San Francisco County,STATE PARK INTERPRETER II
Solano County,STUDENT ASSISTANT
Sacramento County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Kern County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Monterey County,"SUPERVISING REGISTERED NURSE III, CORRECTIONAL FACILITY"
Los Angeles County,"SUPERVISING REGISTERED NURSE III, CORRECTIONAL FACILITY"
Fresno County,"TEACHER, STATE HOSPITALS(LRNG HANDICAPPED, MENTALLY DISABLED)"
Fresno County,TRANSPORTATION ENGINEER (CIVIL)
Los Angeles County,TRANSPORTATION ENGINEER (ELECTRICAL)
United States,ADMINISTRATOR IV FRANCHISE TAX BOARD
Sacramento County,ASSISTANT HEALTH PHYSICIST
Napa County,"AUTOMOTIVE EQUIPMENT OPERATOR I, DEPARTMENT OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Yolo County,AUTOMOTIVE TECHNICIAN I
Sacramento County,AVIATION OFFICER II  (FLIGHT OPERATIONS)
Solano County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Contra Costa County,CALTRANS HIGHWAY MAINTENANCE WORKER
Napa County,CALTRANS HIGHWAY MAINTENANCE WORKER
Alameda County,CALTRANS HIGHWAY MAINTENANCE WORKER
Trinity County,CALTRANS HIGHWAY MAINTENANCE WORKER
Contra Costa County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Alameda County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Orange County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Sacramento County,COMMUNICATIONS SUPERVISOR
San Joaquin County,CONSERVATIONIST SUPERVISOR
Monterey County,CORRECTIONAL CASE RECORDS SUPERVISOR
Tuolumne County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Sacramento County,"DENTIST, CORRECTIONAL FACILITY"
Los Angeles County,DISABILITY INSURANCE PROGRAM MANAGER III
Santa Barbara County,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
San Bernardino County,EMPLOYMENT DEVELOPMENT ADMINISTRATOR
Orange County,EMPLOYMENT PROGRAM MANAGER II
Riverside County,EMPLOYMENT PROGRAM MANAGER II
Los Angeles County,EMPLOYMENT PROGRAM MANAGER II
San Bernardino County,EMPLOYMENT PROGRAM MANAGER II
Alameda County,EMPLOYMENT PROGRAM MANAGER II
Sacramento County,EMPLOYMENT PROGRAM MANAGER II
San Diego County,EMPLOYMENT PROGRAM MANAGER II
Sacramento County,FISCAL ANALYST
San Francisco County,FISCAL ANALYST
Napa County,FOOD SERVICE SUPERVISOR II
Calaveras County,FORESTRY ASSISTANT II
San Bernardino County,GRADUATE STUDENT ASSISTANT
Riverside County,GRADUATE STUDENT ASSISTANT
Tulare County,GRADUATE STUDENT ASSISTANT
Trinity County,GUIDE TRAINEE HISTORICAL MONUMENT
Sacramento County,HEALTH FACILITIES EVALUATOR MANAGER I
United States,HEALTH PROGRAM SPECIALIST I
San Joaquin County,HEALTH PROGRAM SPECIALIST I
Solano County,HEALTH PROGRAM SPECIALIST II
Napa County,HEALTH RECORD TECHNICIAN I
United States,INFORMATION TECHNOLOGY MANAGER I
Fresno County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
San Joaquin County,"LICENSING-REGISTRATION EXAMINER, DEPARTMENT OF MOTOR VEHICLES"
Placer County,"LICENSING-REGISTRATION EXAMINER, DEPARTMENT OF MOTOR VEHICLES"
Sacramento County,"LICENSING-REGISTRATION EXAMINER, DEPARTMENT OF MOTOR VEHICLES"
Los Angeles County,MAINTENANCE AIDE (SEASONAL)
